Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",81,93,79,81
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Fire Arms,0,1,0,0
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Explosives,0,0,0,0
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Idols,0,0,0,0
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Painting,0,0,0,0
187,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultrual - Others,18,24,19,18
188,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Cash,29,33,42,29
189,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Jewellery,103,112,123,103
190,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Other Items Not Included Above,160,153,177,160
191,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Train,1,2,3,1
192,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Extortion,18,30,20,18
193,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),House Theft,170,144,179,170
194,A - IPC Crime,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Servant Theft,56,46,43,56
195,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Land Dispute,89,84,98,89
196,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Employee - Govt.,0,0,1,0
197,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Private Sector,1,0,1,1
198,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Public Sector,0,0,0,0
199,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Linguistic,0,0,0,0
200,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Political ,0,0,1,0
201,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Regional,0,0,1,0
202,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Sectarian,0,0,0,0
203,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Students,1,0,0,1
204,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Tribal,0,0,0,0
205,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Due to Village Disputes,0,1,1,0
206,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Communal,1,1,0,1
207,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Industrial,0,0,0,0
208,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Caste,0,0,0,0
209,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Agrarian,0,0,1,0
210,A - IPC Crime,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Others,227,168,188,227
211,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158 BNS)",NA,0,0,0,0
212,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",NA,16,3,10,16
213,A - IPC Crime,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),NA,57,52,74,57
214,A - IPC Crime,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",NA,411,516,633,411
215,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)","Stock Share, Debentrue Certificate",0,0,0,0
216,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Usage of Counterfeit Stamp,0,0,0,0
217,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Coins (Sec 231 to 254 IPC),0,0,0,0
218,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
219,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),2,4,2,2
220,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Others,0,0,1,0
221,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Forgery  ,38,40,52,38
222,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Organised (Racket),1,0,0,1
223,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Forgery of Passport,0,0,1,0
224,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Other Forgery,10,18,11,10
225,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Acid Attack (326(a)),0,0,0,0
226,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Attempt to Acid Attack (326(b)),0,0,0,0
227,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Grievous Hurt,85,96,95,85
228,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Simple Hurt,1352,1231,1369,1352
229,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Custodial,0,0,0,0
230,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Attempt to Commit,0,0,0,0
231,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Alcoholic Drink (Liquor),0,1,1,0
232,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Cement & Chemical/Fertiliser,0,0,0,0
233,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Cosmetics,0,0,0,0
234,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Diesel,0,0,0,0
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Drug/Medicine,1,0,1,1
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Edible Oil,0,0,0,0
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Food Grain,0,1,0,0
238,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Kerosene,0,0,0,0
239,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Life Saving Drug,0,0,0,0
240,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Mobile Oil,0,0,0,0
241,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Petrol,0,0,0,0
242,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Petroleum Product,0,0,0,0
243,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Soft Drinks,0,0,0,0
244,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Spices,0,0,0,0
245,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",Others,0,0,0,0
246,A - IPC Crime,AFFRAY (Sec. 160 IPC/194(2) BNS),NA,80,47,39,80
247,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Agricultural Produce,3,5,9,3
248,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Attemp to Commit,0,0,0,0
249,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Boat / Ship,0,0,0,0
250,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Dwelling House,8,0,0,8
251,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Educational Institution,0,0,0,0
252,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Govt. Property,0,0,1,0
253,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Industrial Establishment,0,0,0,0
254,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Place of worship,0,0,0,0
255,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Public Place,0,1,1,0
256,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Railway Property,0,0,0,0
257,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Vital Installation,0,0,0,0
258,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Warehouse (Godown),0,0,0,0
259,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",Others,8,11,11,8
260,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",Attempt To Commit,0,1,1,0
261,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Contractor,0,0,0,0
262,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Domestic Servant,0,0,0,0
263,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Labourer,1,0,0,1
264,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (General),0,2,0,0
265,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (SC),0,0,0,0
266,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Man (ST),1,0,0,1
267,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Manager/Executive (Other Than Public Servant),0,0,0,0
268,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0
269,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
270,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Member of Parliament (MP),0,0,0,0
271,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On other Dignitaries /Public Figures,1,0,0,1
272,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Press,0,0,0,0
273,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Professional ,0,0,0,0
274,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Public Servant,0,0,0,0
275,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Student,0,0,0,0
276,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Teacher,0,0,0,0
277,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Women (General),2,0,0,2
278,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Woman (SC),0,0,0,0
279,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",On Woman (ST),0,0,0,0
280,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Attempt to Commit,0,0,0,0
281,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Caste Issue,0,0,0,0
282,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Communal Issue,3,1,4,3
283,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Linguistic Issue,0,0,0,0
284,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Political Issue,0,0,0,0
285,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Racial/Ethnic Issue,0,0,0,0
286,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Regional Issue,4,2,0,4
287,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Religious Issue,4,11,5,4
288,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Sectarian Issue,0,0,0,0
289,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),Others,1,8,2,1
290,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",Conspiracy To Wage War,0,0,0,0
291,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",Related to Substantive Offence,0,0,0,0
292,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",Others,0,1,0,0
293,A - IPC Crime,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC/352 TO 354 BNS),NA,310,238,305,310
294,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Attempt to Commit,0,0,0,0
295,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Bank,1,0,0,1
296,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Business Establishment,0,1,0,0
297,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Charitable Organisation,0,0,0,0
298,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Chitfund Organisation,0,0,0,0
299,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Co-operative Organisation,0,0,0,0
300,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Commercial Establishment/Shop,0,0,0,0
301,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Customs Department,0,0,0,0
302,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Excise Department,0,0,0,0
303,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Financial Institution,0,0,0,0
304,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Income Tax Department,0,0,0,0
305,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Other Government Organisation,0,0,0,0
306,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Postal Department,0,0,0,0
307,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Public Sector Undertakings,0,0,0,0
308,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Railway Department,0,0,0,0
309,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Revenue Department,0,0,0,0
310,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Sales Tax Department,0,0,0,0
311,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Social Organisation (Aided) (N),0,0,0,0
312,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Transport Authority,0,0,0,0
313,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Trust - Other than religious,0,0,0,0
314,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Trust - Religious,0,0,0,0
315,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",Others,1,1,1,1
316,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Attempt to Commit,1,0,0,1
317,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Club,1,0,0,1
318,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Hostel,0,1,0,0
319,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Hotel,2,1,1,2
320,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),House,55,64,60,55
321,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Land,134,146,163,134
322,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Office,4,4,8,4
323,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Prohibited Places,2,1,0,2
324,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Religious Place,1,1,2,1
325,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Restricted Area,0,0,2,0
326,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),Others,24,19,31,24
327,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),Husband ,89,98,89,89
328,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),Husband And Relative(S) in Law,116,89,111,116
329,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),Relative(S) in Law,3,2,2,3
330,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),Dowry Harassment,48,33,26,48
331,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Husband  ,0,0,0,0
332,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Husband And Relatives In Law,3,5,2,3
333,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Relatives in Law,1,0,0,1
334,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Burning,0,0,0,0
335,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Hanging,6,7,5,6
336,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),By Other Means,1,0,0,1
337,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Electrocution,3,1,3,3
338,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Adulterated Food/Drug,0,0,0,0
339,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Accident by Air,0,0,0,0
340,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Boad Accident,0,0,0,0
341,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Bridge/Dam Collapse,0,0,0,0
342,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Building Collapse,0,0,1,0
343,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Caused By Animal,0,0,0,0
344,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Death Due to Other Cause,8,6,4,8
345,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Electrocution Accident,1,0,2,1
346,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Explosion Accident,0,0,0,0
347,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Fire accident,0,0,0,0
348,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Gas Leakage Accident,2,0,0,2
349,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Improper Infrastucture In Construction,12,7,7,12
350,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Improper Medical Treatment,0,0,1,0
351,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Custody of Public Servant,0,0,0,0
352,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Jail/Judicial Custody,0,0,0,0
353,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),In Police Custody,0,0,0,0
354,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Industrial Accident (Factory),0,0,0,0
355,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Inflammable Substance,0,0,0,0
356,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Mine Accident,1,0,0,1
357,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Poisonous Substance,0,0,0,0
358,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Quarry Accident,0,0,2,0
359,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Spurious Liquor (Hooch) Accident,0,0,0,0
360,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Railway Accident,0,0,0,0
361,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),Others,9,2,7,9
362,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),National Highways,341,345,339,341
363,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),State Highways,274,290,320,274
364,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),Other Roads,375,402,408,375
365,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),Other Places,19,9,14,19
366,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",National Highways,900,952,923,900
367,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",State Highways,682,665,668,682
368,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",Other Roads,1243,1154,1315,1243
369,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",Other Places,41,52,39,41
370,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Child,0,0,0,0
