Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
371,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Woman,0,0,0,0
372,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",Women and Child,0,0,0,0
373,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Air Force,0,0,0,0
374,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Army,0,0,0,0
375,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",Navy,0,0,0,0
376,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",From Jail Custody,0,1,1,0
377,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",From Police Custody,2,1,1,2
378,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",Others,1,1,0,1
379,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Attempt to Commit,0,0,1,0
380,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Non-Uniformed Authority,0,0,1,0
381,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",Uniformed Authority,0,0,0,0
382,A - IPC Crime,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",NA,44,30,38,44
383,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Attempt to Commit,5,7,6,5
384,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Private Place,86,74,91,86
385,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Public Conveyance,4,0,0,4
386,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Public Place,184,170,208,184
387,A - IPC Crime,MOLESTATION (Sec.354 IPC/74 BNS),Other Places,203,217,221,203
388,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Attempt to Commit,2,1,0,2
389,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Fatal,0,0,0,0
390,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),Non Fatal,1,1,0,1
391,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Advertisement,0,0,0,0
392,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Audio Tape,0,0,0,0
393,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Book,0,0,0,0
394,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Computer Software,0,0,0,0
395,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Figures,0,0,0,0
396,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Film (Blue),0,0,0,0
397,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Painting,0,0,0,0
398,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Pamphlet,0,0,0,0
399,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Paper,0,0,0,0
400,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Photography,0,0,0,0
401,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Poster,1,0,0,1
402,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Video Film(Blue),0,0,1,0
403,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),Others,1,1,2,1
404,A - IPC Crime,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),,0,1,1,0
405,A - IPC Crime,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",,97,7,31,97
406,A - IPC Crime,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",,227,203,307,227
407,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Attempt to Commit,0,4,1,0
408,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Defence Personnel,0,0,0,0
409,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Jail Personnel,1,2,5,1
410,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Judicial Official,3,3,2,3
411,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Minister,0,0,0,0
412,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MLA,0,0,0,0
413,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",MP,0,0,0,0
414,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Nationalised Bank Personnel,1,0,0,1
415,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Elected Member,0,1,0,0
416,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Enforcement Official,0,0,0,0
417,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Other Govt. Official,36,42,34,36
418,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Para Military Personnel,0,0,0,0
419,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Police Personnel,29,37,28,29
420,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",Public Sector Undertaking Official,7,12,17,7
421,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Defence Personnel,0,0,0,0
422,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Jail Personnel,0,0,0,0
423,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Judicial Official,0,0,0,0
424,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Minister,0,0,0,0
425,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MLA,0,0,0,0
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",MP,0,0,0,0
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Nationalised Bank Personnel,0,0,0,0
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Elected Member,0,0,0,0
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Enforcement Official,0,0,0,0
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Other Govt. Official,0,0,1,0
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Para Military Personnel,0,0,0,0
432,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Police Personnel,0,0,0,0
433,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Public Sector Undertaking Official,0,1,0,0
434,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",Others,0,0,0,0
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Animal -Related,4,2,7,4
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Boat/Vessel - Related,2,0,0,2
437,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Explosive/Explosive Substances - Related,3,2,0,3
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Inflammable Substance- Related ,3,1,2,3
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Machinery - Related,19,14,12,19
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Poisonous Substance - Related,1,3,0,1
441,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Other - Related,108,102,87,108
442,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Human - Related,30,93,38,30
443,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Wheeling,22,0,25,22
444,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Drink & Drive Without DL,0,0,0,0
445,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Death Causeed By Electric Shock,8,4,5,8
446,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Defective Silencer,0,0,6,0
447,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Footpath Riding,0,0,1,0
448,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Racing & Trials of Speed,0,0,0,0
449,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",Rash & Negligence/Dangerous Driving,60,1,65,60
450,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),NA,0,1,0,0
451,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),Attempt to Commit,0,0,0,0
452,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By Foreigner,0,0,0,0
453,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National,0,0,0,0
454,A - IPC Crime,SEDITION (Sec. 124A IPC/IN BNS Deleted),By National And Foreigner,0,0,0,0
455,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Attempt to Commit,1,0,5,1
456,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Office,3,1,2,3
457,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Conveyance,1,0,1,1
458,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Public Place,18,5,15,18
459,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),Other Places,17,16,18,17
460,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Dowry,1,0,0,1
461,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Abetment of Suicide,34,33,33,34
462,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Other Reasons,13,30,20,13
463,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",Attempt to Commit suicide,8,10,5,8
464,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Abetment  ,0,0,0,0
465,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Animal  ,0,0,0,0
466,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Attempt,0,0,0,0
467,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Man,0,0,0,0
468,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Major - Woman,0,0,0,0
469,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Boy,0,0,0,0
470,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),Minor - Girl,0,0,0,0
471,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Attempt to Commit,1,2,3,1
472,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Confession,2,0,2,2
473,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To Extort Property,1,1,2,1
474,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",To settle Dispute,4,1,2,4
475,A - IPC Crime,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",Others,41,38,37,41
476,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Male,0,1,0,0
477,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",Female,0,0,0,0
478,A - IPC Crime,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",NA,3,4,1,3
479,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",NA,0,0,0,0
480,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Documents  ,0,0,0,0
481,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),Property  ,0,0,0,0
482,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Persons ,2,0,0,2
483,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Printed Matter,0,0,0,0
484,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),Others,0,0,0,0
485,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Assembly,0,0,0,0
486,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Parliament,0,0,0,0
487,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),Other Elected Bodies,0,0,0,0
488,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Man,1,0,0,1
489,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Woman,0,0,0,0
490,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Boy,1,0,1,1
491,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",Girl,0,0,0,0
492,A - IPC Crime,Attempting to commit offences (Sec.511 IPC/62 BNS),Attempting to commit offences,14,12,17,14
493,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),NA,0,0,0,0
494,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),NA,0,1,3,0
495,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Boy ,1,2,3,1
496,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),Girl,2,3,2,2
497,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),NA,0,2,0,0
498,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 174 A/BNS 209,10,16,7,10
499,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",IPC 229 A/BNS 269,53,83,32,53
500,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,1,0,1,1
501,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,1,3,1,1
502,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,1,1,1,1
503,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,6,2,2,6
504,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,1,1,1,1
505,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,0,0,0,0
506,A - IPC Crime,Human Trafficking,Women,2,0,0,2
507,A - IPC Crime,Human Trafficking,Girl ,2,0,0,2
508,A - IPC Crime,Human Trafficking,Eunuch,0,0,0,0
509,A - IPC Crime,Human Trafficking,Men,1,3,1,1
510,A - IPC Crime,Human Trafficking,Boy ,0,1,0,0
511,A - IPC Crime,Giving false information respecting an offence committed,Giving false information respecting an offence committed,0,0,1,0
512,A - IPC Crime,Harbouring offender,NA,0,0,0,0
513,A - IPC Crime,Pettry Organised Crimes,Cargo Theft,0,0,0,0
514,A - IPC Crime,Pettry Organised Crimes,Pick Pocketing,0,1,0,0
515,A - IPC Crime,Pettry Organised Crimes,Shop Lifting,0,0,0,0
516,A - IPC Crime,Pettry Organised Crimes,Theft Of ATM Machines,0,0,0,0
517,A - IPC Crime,Pettry Organised Crimes,Theft From Vehicles,0,0,0,0
518,A - IPC Crime,Pettry Organised Crimes,Unauthorised Betting/Gambling,10,3,8,10
519,A - IPC Crime,Pettry Organised Crimes,Others,0,1,0,0
520,A - IPC Crime,Public Servant in Judicial proceeding,Defence Personnel,0,0,0,0
521,A - IPC Crime,Public Servant in Judicial proceeding,Others,0,0,0,0
522,A - IPC Crime,Public Servant in Judicial proceeding,Jail Personnel,0,0,0,0
523,A - IPC Crime,Public Servant in Judicial proceeding,Para Military Personnel,0,0,0,0
524,A - IPC Crime,Public Servant in Judicial proceeding,Police Personnel,0,0,0,0
525,A - IPC Crime,Public Servant in Judicial proceeding,Public Sector Undertaking Official,0,0,0,0
526,A - IPC Crime,Public Servant in Judicial proceeding,Judicial Official,0,0,0,0
527,A - IPC Crime,Public Servant in Judicial proceeding,Minister,0,0,0,0
528,A - IPC Crime,Public Servant in Judicial proceeding,MLA,0,0,0,0
529,A - IPC Crime,Public Servant in Judicial proceeding,MP,0,0,0,0
530,A - IPC Crime,Public Servant in Judicial proceeding,Nationalised Bank Personnel,0,0,0,0
531,A - IPC Crime,Public Servant in Judicial proceeding,Other Elected Member,0,0,0,0
532,A - IPC Crime,Public Servant in Judicial proceeding,Other Enforcement Official,0,0,0,0
533,A - IPC Crime,Public Servant in Judicial proceeding,Other Govt Official,0,0,0,0
534,A - IPC Crime,"The Indian Stamp Act, 1899",NA,0,0,0,0
535,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0
536,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,0,3,0,0
537,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,3,0,1,3
538,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,10,15,6,10
539,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,4,0,1,4
540,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,17,7,6,17
541,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,0,1,1,0
542,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,6,3,6,6
543,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,0,1,2,0
544,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,3,5,7,3
545,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,10,9,10,10
546,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
547,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,0,2,0,0
548,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,23,21,18,23
549,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,0,0,0
552,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
553,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,9,12,7,9
554,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,1,0,0,1
